"Team","Team_Index","Country.abr","Player","FirstName","LastName","Position","Height","Weight","BirthDate","College","Address","City","State","Zip","County","Latitude","Longitude","Country","Country.abr3","Country.num","Cty.Latitude","Cty.Longitude","Player_ID"
"BOS","2","us","jrue holiday","jrue","holiday","pg",76,205,1990-06-12,"university of university of california-berkeley-loklahoma state university-main campus angeles","405 HILGARD AVE","LOS ANGELES","CA",90095,"LOS ANGELES",34.0688923000001,-118.443900501,"United States","USA",840,38,-97,2011
"BOS","2","us","jordan walsh","jordan","walsh","sf",79,205,2004-03-03,"university of university of aruniversity of kansas","ADMINISTRATION BLDG 425","FAYETTEVILLE","AR",72701,"WASHINGTON",36.065641709,-94.177852322,"United States","USA",840,38,-97,2012
"BOS","2","us","luke kornet","luke","kornet","c",86,250,1995-07-15,"vanderbilt university university","2101 WEST END AVENUE","NASHVILLE","TN",37240,"DAVIDSON",36.144429824,-86.804874645,"United States","USA",840,38,-97,2013
"BOS","2","us","xavier tillman sr.","xavier","tillman","pf",80,245,1999-01-12,"university of michigan-ann arbor state university","NOT AVAILABLE","EAST LANSING","MI",48824,"INGHAM",42.7247600000001,-84.4736389999999,"United States","USA",840,38,-97,2014
"BOS","2","us","jaden springer","jaden","springer","pg",76,204,2002-09-25,"the university of the university of tennessee-knoxville-knoxville","527 ANDY HOLT TOWER","KNOXVILLE","TN",37996,"KNOX",35.9550929980001,-83.929696013,"United States","USA",840,38,-97,2015
"BOS","2","us","jd davison","jd","davison","sg",73,195,2002-10-03,"the university of the university of alabama","739 UNIVERSITY BLVD","TUSCALOOSA","AL",35487,"TUSCALOOSA",33.214399658,-87.545766467,"United States","USA",840,38,-97,2016
"BOS","2","us","drew peterson","drew","peterson","pf",81,205,1999-11-09,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,2017
"BRK","3","au","ben simmons","ben","simmons","pg",82,240,1996-07-20,"louisiana state university-eunice","2048 JOHNSON HWY","EUNICE","LA",70535,"ACADIA",30.473292407,-92.434523117,"Australia","AUS",36,-27,133,3001
"BRK","3","de","dennis schröder","dennis","schröder","pg",73,172,1993-09-15,"none","none","none","na",0,"other",0,0,"Germany","DEU",276,51,9,3002
"BRK","3","jp","cam thomas","cam","thomas","sg",76,210,2001-10-13,"louisiana state university-eunice","2048 JOHNSON HWY","EUNICE","LA",70535,"ACADIA",30.473292407,-92.434523117,"Japan","JPN",392,36,138,3003
"BRK","3","us","mikal bridges","mikal","bridges","sf",78,209,1996-08-30,"villanova university university","800 LANCASTER AVENUE","VILLANOVA","PA",19085,"DELAWARE",40.035771633,-75.3402221859999,"United States","USA",840,38,-97,3004
"BRK","3","us","nic claxton","nic","claxton","c",83,215,1999-04-17,"university of university of georgia","ADMINISTRATION BUILDING","ATHENS","GA",30602,"CLARKE",33.9377270000001,-83.37143,"United States","USA",840,38,-97,3005
"BRK","3","us","dorian finney-smith","dorian","finney-smith","pf",79,220,1993-05-04,"university of university of florida","TIGERT HALL","GAINESVILLE","FL",32611,"ALACHUA",29.638248,-82.361195,"United States","USA",840,38,-97,3006
"BRK","3","us","lonnie walker iv","lonnie","walker","sg",76,204,1998-12-14,"university of university of miami","UNIVERSITY OF MIAMI","CORAL GABLES","FL",33146,"MIAMI-DADE",25.720406,-80.27645,"United States","USA",840,38,-97,3007
"BRK","3","us","trendon watford","trendon","watford","pf",81,240,2000-11-09,"louisiana state university-eunice","2048 JOHNSON HWY","EUNICE","LA",70535,"ACADIA",30.473292407,-92.434523117,"United States","USA",840,38,-97,3008
"BRK","3","us","day'ron sharpe","day'ron","sharpe","c",83,265,2001-11-06,"university of north carolina at chapel hill","103 SOUTH BLDG CB 9100","CHAPEL HILL","NC",27599,"ORANGE",35.9121653170001,-79.050969417,"United States","USA",840,38,-97,3009
"BRK","3","us","cameron johnson","cameron","johnson","pf",80,210,1996-03-03,"university of north carolina at chapel hill","103 SOUTH BLDG CB 9100","CHAPEL HILL","NC",27599,"ORANGE",35.9121653170001,-79.050969417,"United States","USA",840,38,-97,3010
"BRK","3","us","noah clowney","noah","clowney","pf",82,210,2004-07-14,"the university of the university of alabama","739 UNIVERSITY BLVD","TUSCALOOSA","AL",35487,"TUSCALOOSA",33.214399658,-87.545766467,"United States","USA",840,38,-97,3011
"BRK","3","us","dennis smith jr.","dennis","smith","pg",74,205,1997-11-25,"north carolina state university at raleigh","2101 HILLSBOROUGH STREET","RALEIGH","NC",27695,"WAKE",35.785110613,-78.674517164,"United States","USA",840,38,-97,3012
"BRK","3","us","jalen wilson","jalen","wilson","pf",80,225,2000-11-04,"university of university of kansas","STRONG HALL, 1450 JAYHAWK BLVD, ROOM 230","LAWRENCE","KS",66045,"DOUGLAS",38.9564740000001,-95.258651,"United States","USA",840,38,-97,3013
"BRK","3","us","keon johnson","keon","johnson","sg",77,186,2002-03-10,"the university of the university of tennessee-knoxville-knoxville","527 ANDY HOLT TOWER","KNOXVILLE","TN",37996,"KNOX",35.9550929980001,-83.929696013,"United States","USA",840,38,-97,3014
"BRK","3","us","jacob gilyard","jacob","gilyard","pg",69,160,1998-07-14,"university of university of richmond","410 WESTHAMPTON WAY","UNIVERSITY OF RICHMOND","VA",23173,"RICHMOND CITY",37.5773993330001,-77.538797178,"United States","USA",840,38,-97,3015
"BRK","3","us","dariq whitehead","dariq","whitehead","sf",79,220,2004-08-01,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,3016
"BRK","3","us","keita bates-diop","keita","bates-diop","sf",80,229,1996-01-23,"ohio state university-main campus university-main campus","190 N. OVAL MALL","COLUMBUS","OH",43210,"FRANKLIN",39.9994934320001,-83.0087917879999,"United States","USA",840,38,-97,3017
"BRK","3","us","jaylen martin","jaylen","martin","sf",78,216,2004-01-28,"none","none","none","na",0,"other",0,0,"United States","USA",840,38,-97,3018
"CHA","4","jm","nick richards","nick","richards","c",84,245,1997-11-29,"university of university of kentucky","SOUTH LIMESTONE","LEXINGTON","KY",40506,"FAYETTE",38.028761,-84.502517,"Jamaica","JAM",388,18.25,-77.5,4001
"CHA","4","lv","dāvis bertāns","dāvis","bertāns","pf",82,225,1992-11-12,"none","none","none","na",0,"other",0,0,"Latvia","LVA",428,57,25,4002
"CHA","4","rs","vasilije micić","vasilije","micić","pg",77,200,1994-01-13,"none","none","none","na",0,"other",0,0,"Serbia","SRB",688,44,21,4003
"CHA","4","rs","aleksej pokusevski","aleksej","pokusevski","pf",84,190,2001-12-26,"none","none","none","na",0,"other",0,0,"Serbia","SRB",688,44,21,4004
"CHA","4","us","brandon miller","brandon","miller","sf",81,201,2002-11-22,"the university of the university of alabama","739 UNIVERSITY BLVD","TUSCALOOSA","AL",35487,"TUSCALOOSA",33.214399658,-87.545766467,"United States","USA",840,38,-97,4005
"CHA","4","us","miles bridges","miles","bridges","sf",79,225,1998-03-21,"university of michigan-ann arbor state university","NOT AVAILABLE","EAST LANSING","MI",48824,"INGHAM",42.7247600000001,-84.4736389999999,"United States","USA",840,38,-97,4006
"CHA","4","us","cody martin","cody","martin","sf",77,205,1995-09-28,"university of university of nevada-reno-reno","NORTH VIRGINIA STREET","RENO","NV",89557,"WASHOE",39.5436416910001,-119.815376897,"United States","USA",840,38,-97,4007
"CHA","4","us","jt thor","jt","thor","pf",82,205,2002-08-26,"auburn university university","NOT AVAILABLE","AUBURN","AL",36849,"LEE",32.600201,-85.492409,"United States","USA",840,38,-97,4008
"CHA","4","us","bryce mcgowens","bryce","mcgowens","sg",79,179,2002-11-08,"university of university of nebraska-central administration system office-central administration system office","3835 HOLDREGE ST","LINCOLN","NE",68583,"LANCASTER",40.8274942410001,-96.665203365,"United States","USA",840,38,-97,4009
"CHA","4","us","nick smith jr.","nick","smith","sg",77,185,2004-04-18,"university of university of aruniversity of kansas","ADMINISTRATION BLDG 425","FAYETTEVILLE","AR",72701,"WASHINGTON",36.065641709,-94.177852322,"United States","USA",840,38,-97,4010
"CHA","4","us","grant williams","grant","williams","pf",78,236,1998-11-30,"the university of the university of tennessee-knoxville-knoxville","527 ANDY HOLT TOWER","KNOXVILLE","TN",37996,"KNOX",35.9550929980001,-83.929696013,"United States","USA",840,38,-97,4011
"CHA","4","us","tre mann","tre","mann","pg",75,178,2001-02-03,"university of university of florida","TIGERT HALL","GAINESVILLE","FL",32611,"ALACHUA",29.638248,-82.361195,"United States","USA",840,38,-97,4012
"CHA","4","us","mark williams","mark","williams","c",84,241,2001-12-16,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,4013
"CHA","4","us","leaky black","leaky","black","sf",81,205,1999-06-14,"university of north carolina at chapel hill","103 SOUTH BLDG CB 9100","CHAPEL HILL","NC",27599,"ORANGE",35.9121653170001,-79.050969417,"United States","USA",840,38,-97,4014
"CHA","4","us","lamelo ball","lamelo","ball","pg",79,180,2001-08-22,"none","none","none","na",0,"other",0,0,"United States","USA",840,38,-97,4015
"CHA","4","us","seth curry","seth","curry","sg",73,185,1990-08-23,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,4016
"CHA","4","us","amari bailey","amari","bailey","pg",77,185,2004-02-17,"university of university of california-berkeley-loklahoma state university-main campus angeles","405 HILGARD AVE","LOS ANGELES","CA",90095,"LOS ANGELES",34.0688923000001,-118.443900501,"United States","USA",840,38,-97,4017
"CHA","4","us","marques bolden","marques","bolden","c",82,249,1998-04-17,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,4018
"CHI","5","ch","nikola vučević","nikola","vučević","c",82,260,1990-10-24,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"Switzerland","CHE",756,47,8,5001
"CHI","5","ee","henri drell","henri","drell","sf",81,187,2000-04-25,"none","none","none","na",0,"other",0,0,"Estonia","EST",233,59,26,5002
"CHI","5","ml","adama sanogo","adama","sanogo","pf",81,245,2002-02-12,"university of connecticut","352 MANSFIELD ROAD","STORRS","CT",6269,"TOLLAND",41.8076580000001,-72.2569609999999,"Mali","MLI",466,17,-4,5003
"CHI","5","tr","onuralp bitim","onuralp","bitim","sg",78,215,1999-03-31,"none","none","none","na",0,"other",0,0,"Turkey","TUR",792,39,35,5004
"CHI","5","us","demar derozan","demar","derozan","sf",78,220,1989-08-07,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,5005
"CHI","5","us","coby white","coby","white","pg",77,195,2000-02-16,"university of north carolina at chapel hill","103 SOUTH BLDG CB 9100","CHAPEL HILL","NC",27599,"ORANGE",35.9121653170001,-79.050969417,"United States","USA",840,38,-97,5006
"CHI","5","us","andre drummond","andre","drummond","c",83,279,1993-08-10,"university of connecticut","352 MANSFIELD ROAD","STORRS","CT",6269,"TOLLAND",41.8076580000001,-72.2569609999999,"United States","USA",840,38,-97,5007
"CHI","5","us","dalen terry","dalen","terry","sg",79,195,2002-07-12,"university of university of arizona","1401 E UNIVERSITY","TUCSON","AZ",85721,"PIMA",32.2328661280001,-110.950085862,"United States","USA",840,38,-97,5008
"CHI","5","us","ayo dosunmu","ayo","dosunmu","sg",77,200,2000-01-17,"university of university of illinois system offices system offices","108 HENRY ADMINISTRATION BUILDING, 506 S WRIGHT STREET","URBANA","IL",61801,"CHAMPAIGN",40.1084880000001,-88.228381,"United States","USA",840,38,-97,5009
"CHI","5","us","jevon carter","jevon","carter","pg",73,200,1995-09-14,"the university of texas at austin a and m university-college station","JKW ADMINISTRATION BUILDING, SUITE 200","COLLEGE STATION","TX",77843,"BRAZOS",30.610775,-96.349232,"United States","USA",840,38,-97,5010
"CHI","5","us","alex caruso","alex","caruso","sg",77,186,1994-02-28,"west university of virginia-main campus university","PO BOX 6201","MORGANTOWN","WV",26506,"MONONGALIA",39.6346800000001,-79.953926,"United States","USA",840,38,-97,5011
"CHI","5","us","zach lavine","zach","lavine","sg",77,200,1995-03-10,"university of university of california-berkeley-loklahoma state university-main campus angeles","405 HILGARD AVE","LOS ANGELES","CA",90095,"LOS ANGELES",34.0688923000001,-118.443900501,"United States","USA",840,38,-97,5012
"CHI","5","us","torrey craig","torrey","craig","sf",79,221,1990-12-19,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,5013
"CHI","5","us","patrick williams","patrick","williams","pf",79,215,2001-08-26,"university of florida state university","222 S. COPELAND STREET","TALLAHASSEE","FL",32306,"LEON",30.443222,-84.301554,"United States","USA",840,38,-97,5014
"CHI","5","us","julian phillips","julian","phillips","sf",80,198,2003-11-05,"the university of the university of tennessee-knoxville-knoxville","527 ANDY HOLT TOWER","KNOXVILLE","TN",37996,"KNOX",35.9550929980001,-83.929696013,"United States","USA",840,38,-97,5015
"CHI","5","us","andrew funk","andrew","funk","sg",77,200,1999-09-21,"pennsylvania state university-main campus","201 OLD MAIN","UNIVERSITY PARK","PA",16802,"CENTRE",40.800732,-77.861644,"United States","USA",840,38,-97,5016
"CHI","5","us","javonte green","javonte","green","sf",76,205,1993-07-23,"radford university university","801 EAST MAIN ST.","RADFORD","VA",24142,"RADFORD CITY",37.136914113,-80.549731488,"United States","USA",840,38,-97,5017
"CHI","5","us","lonzo ball","lonzo","ball","pg",78,190,1997-10-27,"university of university of california-berkeley-loklahoma state university-main campus angeles","405 HILGARD AVE","LOS ANGELES","CA",90095,"LOS ANGELES",34.0688923000001,-118.443900501,"United States","USA",840,38,-97,5018
"CLE","6","ca","tristan thompson","tristan","thompson","c",81,254,1991-03-13,"the university of the university of texas at austin at austin","110 INNER CAMPUS DRIVE","AUSTIN","TX",78705,"TRAVIS",30.2838090000001,-97.736463,"Canada","CAN",124,60,-95,6001
"CLE","6","us","georges niang","georges","niang","pf",79,230,1993-06-17,"university of iowa state university university","1750 BEARDSHEAR HALL","AMES","IA",50011,"STORY",42.0253030000001,-93.6502399999999,"United States","USA",840,38,-97,6002
"CLE","6","us","jarrett allen","jarrett","allen","c",83,243,1998-04-21,"the university of the university of texas at austin at austin","110 INNER CAMPUS DRIVE","AUSTIN","TX",78705,"TRAVIS",30.2838090000001,-97.736463,"United States","USA",840,38,-97,6003
"CLE","6","us","max strus","max","strus","sf",77,215,1996-03-28,"depauw university","313 S LOCUST ST","GREENCASTLE","IN",46135,"PUTNAM",39.6395302500001,-86.863556488,"United States","USA",840,38,-97,6004
"CLE","6","us","isaac okoro","isaac","okoro","sf",77,225,2001-01-26,"auburn university university","NOT AVAILABLE","AUBURN","AL",36849,"LEE",32.600201,-85.492409,"United States","USA",840,38,-97,6005
"CLE","6","us","caris levert","caris","levert","sg",78,205,1994-08-25,"university of university of michigan-ann arbor-ann arbor","503 THOMPSON STREET","ANN ARBOR","MI",48109,"WASHTENAW",42.2780300000001,-83.736564,"United States","USA",840,38,-97,6006
"CLE","6","us","sam merrill","sam","merrill","sg",76,205,1996-05-15,"university of utah state university university","OLD MAIN HILL","LOGAN","UT",84322,"CACHE",41.7407480000001,-111.81391,"United States","USA",840,38,-97,6007
"CLE","6","us","darius garland","darius","garland","pg",73,192,2000-01-26,"vanderbilt university university","2101 WEST END AVENUE","NASHVILLE","TN",37240,"DAVIDSON",36.144429824,-86.804874645,"United States","USA",840,38,-97,6008
"CLE","6","us","donovan mitchell","donovan","mitchell","sg",75,215,1996-09-07,"university of university of louisville","2301 S 3RD ST","LOUISVILLE","KY",40292,"JEFFERSON",38.2157517310001,-85.7606275959999,"United States","USA",840,38,-97,6009
"CLE","6","us","dean wade","dean","wade","pf",81,228,1996-11-20,"university of kansas state university university","919 MID-CAMPUS DRIVE, ANDERSON HALL","MANHATTAN","KS",66506,"RILEY",39.188616,-96.5810769999999,"United States","USA",840,38,-97,6010
"CLE","6","us","craig porter jr.","craig","porter","pg",74,186,2000-02-26,"wichita state university university","1845 N. FAIRMOUNT","WICHITA","KS",67260,"SEDGWICK",37.7163055400001,-97.297375454,"United States","USA",840,38,-97,6011
"CLE","6","us","evan mobley","evan","mobley","pf",83,215,2001-06-18,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,6012
"CLE","6","us","isaiah mobley","isaiah","mobley","pf",80,240,1999-09-24,"university of southern university of california-berkeley","UNIVERSITY PARK","LOS ANGELES","CA",90089,"LOS ANGELES",34.021058,-118.283858,"United States","USA",840,38,-97,6013
"CLE","6","us","damian jones","damian","jones","c",83,245,1995-06-30,"vanderbilt university university","2101 WEST END AVENUE","NASHVILLE","TN",37240,"DAVIDSON",36.144429824,-86.804874645,"United States","USA",840,38,-97,6014
"CLE","6","us","emoni bates","emoni","bates","sf",82,170,2004-01-28,"eastern university of michigan-ann arbor university","900 OAKWOOD ST.","YPSILANTI","MI",48197,"WASHTENAW",42.250277,-83.6251559999999,"United States","USA",840,38,-97,6015
"CLE","6","us","marcus morris","marcus","morris","pf",80,218,1989-09-02,"university of university of kansas","STRONG HALL, 1450 JAYHAWK BLVD, ROOM 230","LAWRENCE","KS",66045,"DOUGLAS",38.9564740000001,-95.258651,"United States","USA",840,38,-97,6016
"CLE","6","us","pete nance","pete","nance","pf",83,230,2000-02-19,"university of north carolina at chapel hill","103 SOUTH BLDG CB 9100","CHAPEL HILL","NC",27599,"ORANGE",35.9121653170001,-79.050969417,"United States","USA",840,38,-97,6017
"CLE","6","us","ty jerome","ty","jerome","sg",77,195,1997-07-08,"university of university of virginia-main campus-main campus","1827 UNIVERSITY AVENUE","CHARLOTTESVILLE","VA",22903,"ALBEMARLE",38.033977,-78.5118449999999,"United States","USA",840,38,-97,6018
"DAL","7","au","kyrie irving","kyrie","irving","sg",74,195,1992-03-23,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"Australia","AUS",36,-27,133,7001
"DAL","7","au","josh green","josh","green","sg",77,200,2000-11-16,"university of university of arizona","1401 E UNIVERSITY","TUCSON","AZ",85721,"PIMA",32.2328661280001,-110.950085862,"Australia","AUS",36,-27,133,7002
"DAL","7","au","dante exum","dante","exum","pg",77,214,1995-07-13,"none","none","none","na",0,"other",0,0,"Australia","AUS",36,-27,133,7003
"DAL","7","ca","a.j. lawson","a.j.","lawson","sg",78,179,2000-07-15,"university of university of south carolina-columbia-columbia","COLUMBIA-CAMPUS","COLUMBIA","SC",29208,"RICHLAND",33.996677,-81.026916,"Canada","CAN",124,60,-95,7004
"DAL","7","ca","dwight powell","dwight","powell","c",82,240,1991-07-20,"stanford university university","NOT AVAILABLE","STANFORD","CA",94305,"SANTA CLARA",37.432973802,-122.175045063,"Canada","CAN",124,60,-95,7005
"DAL","7","ca","olivier-maxence prosper","olivier-maxence","prosper","pf",80,230,2002-07-03,"marquette university university","1250 W WISCONSIN AVENUE","MILWAUKEE","WI",53233,"MILWAUKEE",43.0371829200001,-87.931088255,"Canada","CAN",124,60,-95,7006
"DAL","7","de","maxi kleber","maxi","kleber","c",82,240,1992-01-29,"none","none","none","na",0,"other",0,0,"Germany","DEU",276,51,9,7007
"DAL","7","si","luka dončić","luka","dončić","pg",79,230,1999-02-28,"none","none","none","na",0,"other",0,0,"Slovenia","SVN",705,46,15,7008
"DAL","7","us","tim hardaway jr.","tim","hardaway","sf",77,205,1992-03-16,"university of university of michigan-ann arbor-ann arbor","503 THOMPSON STREET","ANN ARBOR","MI",48109,"WASHTENAW",42.2780300000001,-83.736564,"United States","USA",840,38,-97,7009
"DAL","7","us","derrick jones jr.","derrick","jones","sf",77,210,1997-02-15,"university of university of nevada-reno-las vegas","4505 S MARYLAND PKY","LAS VEGAS","NV",89154,"CLARK",36.106994059,-115.141152548,"United States","USA",840,38,-97,7010
"DAL","7","us","jaden hardy","jaden","hardy","sg",76,198,2002-07-05,"none","none","none","na",0,"other",0,0,"United States","USA",840,38,-97,7011
"DAL","7","us","dereck lively ii","dereck","lively","c",85,230,2004-02-12,"duke university university","103 ALLEN BLDG","DURHAM","NC",27708,"DURHAM",36.002343506,-78.9385972709999,"United States","USA",840,38,-97,7012
"DAL","7","us","p.j. washington","p.j.","washington","pf",79,230,1998-08-23,"university of university of kentucky","SOUTH LIMESTONE","LEXINGTON","KY",40506,"FAYETTE",38.028761,-84.502517,"United States","USA",840,38,-97,7013
"DAL","7","us","daniel gafford","daniel","gafford","pf",82,234,1998-10-01,"university of university of aruniversity of kansas","ADMINISTRATION BLDG 425","FAYETTEVILLE","AR",72701,"WASHINGTON",36.065641709,-94.177852322,"United States","USA",840,38,-97,7014
"DAL","7","us","markieff morris","markieff","morris","pf",81,245,1989-09-02,"university of university of kansas","STRONG HALL, 1450 JAYHAWK BLVD, ROOM 230","LAWRENCE","KS",66045,"DOUGLAS",38.9564740000001,-95.258651,"United States","USA",840,38,-97,7015
